timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175819.241857	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4030409405	64	0	47	DONE	NEXT	1	[4 4]	0.70625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.339534	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3149826927	66	0	45	DONE	NEXT	1	[4 4]	0.71875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.393510	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3047439874	68	0	22	DONE	NEXT	1	[4 4]	0.8625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.444527	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2241363529	71	0	26	DONE	NEXT	1	[4 4]	0.8375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.795894	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2198285248	73	0	73	DONE	NEXT	1	[4 4]	0.54375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.827687	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2316608454	75	0	17	DONE	NEXT	0	[4 4]	0.89375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.874138	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	295419577	76	0	24	DONE	NEXT	0	[4 4]	0.85	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.914642	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3376823389	77	0	19	DONE	NEXT	1	[4 4]	0.88125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.965261	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1789470902	79	0	25	DONE	NEXT	1	[4 4]	0.84375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.005851	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2221297815	80	0	22	DONE	NEXT	0	[4 4]	0.8625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.033019	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3491219279	81	0	11	DONE	NEXT	0	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.332833	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3902456120	83	0	37	DONE	NEXT	1	[4 4]	0.76875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.381263	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1645892272	84	0	23	DONE	NEXT	1	[4 4]	0.85625	Discrete(7)	Dict(image:Box(7, 7, 3))
