block_num	regime_num	exp_num	status	timestamp	agent_dir	agent_pos	task_name	sub_task	worker	action_space	source	reward	seed	observation_space	steps
1	2	100	DONE	20200924T002848.491560	3	[4 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3169192485	Dict(image:Box(7, 7, 3))	15
1	2	101	DONE	20200924T002848.636561	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2281152045	Dict(image:Box(7, 7, 3))	44
1	2	102	DONE	20200924T002848.862560	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1370417362	Dict(image:Box(7, 7, 3))	76
1	2	103	DONE	20200924T002848.950560	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4081628737	Dict(image:Box(7, 7, 3))	24
1	2	104	DONE	20200924T002849.576145	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3144731721	Dict(image:Box(7, 7, 3))	173
1	2	105	DONE	20200924T002849.691142	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1299781461	Dict(image:Box(7, 7, 3))	34
1	2	106	DONE	20200924T002850.165144	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2338042310	Dict(image:Box(7, 7, 3))	135
1	2	107	DONE	20200924T002850.269142	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4151144268	Dict(image:Box(7, 7, 3))	32
1	2	108	DONE	20200924T002850.326146	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2747667361	Dict(image:Box(7, 7, 3))	11
1	2	109	DONE	20200924T002850.361145	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1894570225	Dict(image:Box(7, 7, 3))	4
1	2	110	DONE	20200924T002850.427144	3	[5 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2447688740	Dict(image:Box(7, 7, 3))	15
1	2	111	DONE	20200924T002850.492144	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3100600809	Dict(image:Box(7, 7, 3))	16
1	2	112	DONE	20200924T002850.540143	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3841326187	Dict(image:Box(7, 7, 3))	10
1	2	113	DONE	20200924T002850.866683	1	[4 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	777599114	Dict(image:Box(7, 7, 3))	74
1	2	114	DONE	20200924T002850.905683	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1259649644	Dict(image:Box(7, 7, 3))	6
1	2	115	DONE	20200924T002851.038684	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	857568149	Dict(image:Box(7, 7, 3))	39
1	2	116	DONE	20200924T002851.469683	0	[7 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0.5892857142857143	507583823	Dict(image:Box(7, 7, 3))	115
1	2	117	DONE	20200924T002851.584684	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	775893931	Dict(image:Box(7, 7, 3))	36
1	2	118	DONE	20200924T002851.648685	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	602460633	Dict(image:Box(7, 7, 3))	17
1	2	119	DONE	20200924T002851.758683	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	231195872	Dict(image:Box(7, 7, 3))	32
1	2	120	DONE	20200924T002851.792684	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2627011317	Dict(image:Box(7, 7, 3))	4
1	2	121	DONE	20200924T002852.345723	3	[7 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0.4035714285714286	1426615083	Dict(image:Box(7, 7, 3))	167
1	2	122	DONE	20200924T002852.503722	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3197197626	Dict(image:Box(7, 7, 3))	48
1	2	123	DONE	20200924T002852.651720	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	292215186	Dict(image:Box(7, 7, 3))	48
1	2	124	DONE	20200924T002852.681721	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	784773090	Dict(image:Box(7, 7, 3))	2
1	2	125	DONE	20200924T002852.713722	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3784330750	Dict(image:Box(7, 7, 3))	4
1	2	126	DONE	20200924T002852.996719	3	[4 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1890609643	Dict(image:Box(7, 7, 3))	59
1	2	127	DONE	20200924T002853.119722	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1640262242	Dict(image:Box(7, 7, 3))	36
1	2	128	DONE	20200924T002853.150722	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1517399866	Dict(image:Box(7, 7, 3))	4
1	2	129	DONE	20200924T002853.199722	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1774502561	Dict(image:Box(7, 7, 3))	10
1	2	130	DONE	20200924T002853.416722	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	261333354	Dict(image:Box(7, 7, 3))	74
1	2	131	DONE	20200924T002853.831829	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1311205614	Dict(image:Box(7, 7, 3))	113
1	2	132	DONE	20200924T002853.871827	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2389456792	Dict(image:Box(7, 7, 3))	6
1	2	133	DONE	20200924T002853.922828	3	[4 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	482911189	Dict(image:Box(7, 7, 3))	10
1	2	134	DONE	20200924T002854.626827	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4037110142	Dict(image:Box(7, 7, 3))	214
1	2	135	DONE	20200924T002854.715826	1	[5 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	560841812	Dict(image:Box(7, 7, 3))	26
1	2	136	DONE	20200924T002854.817826	1	[4 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1072772630	Dict(image:Box(7, 7, 3))	29
1	2	137	DONE	20200924T002855.528472	3	[7 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0.23571428571428577	301378063	Dict(image:Box(7, 7, 3))	214
1	2	138	DONE	20200924T002855.557473	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	461008817	Dict(image:Box(7, 7, 3))	2
1	2	139	DONE	20200924T002855.890539	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	943643707	Dict(image:Box(7, 7, 3))	78
1	2	140	DONE	20200924T002856.026539	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3043190207	Dict(image:Box(7, 7, 3))	44
1	2	141	DONE	20200924T002856.167542	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3317717349	Dict(image:Box(7, 7, 3))	43
1	2	142	DONE	20200924T002856.304088	2	[5 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3062559087	Dict(image:Box(7, 7, 3))	42
1	2	143	DONE	20200924T002856.706088	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	415923447	Dict(image:Box(7, 7, 3))	107
1	2	144	DONE	20200924T002856.830085	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3875249350	Dict(image:Box(7, 7, 3))	39
1	2	145	DONE	20200924T002857.216086	3	[7 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0.6357142857142857	595197791	Dict(image:Box(7, 7, 3))	102
1	2	146	DONE	20200924T002857.494085	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1092297654	Dict(image:Box(7, 7, 3))	99
1	2	147	DONE	20200924T002857.522086	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1310382190	Dict(image:Box(7, 7, 3))	2
1	2	148	DONE	20200924T002857.693087	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2862081209	Dict(image:Box(7, 7, 3))	57
1	2	149	DONE	20200924T002858.028086	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1285481853	Dict(image:Box(7, 7, 3))	77
1	2	150	DONE	20200924T002858.058084	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3950183804	Dict(image:Box(7, 7, 3))	4
1	2	151	DONE	20200924T002858.106087	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	67718930	Dict(image:Box(7, 7, 3))	8
1	2	152	DONE	20200924T002858.299085	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1312078401	Dict(image:Box(7, 7, 3))	58
1	2	153	DONE	20200924T002858.368115	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1086695703	Dict(image:Box(7, 7, 3))	15
1	2	154	DONE	20200924T002858.666128	3	[7 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0.7714285714285715	1745038206	Dict(image:Box(7, 7, 3))	64
1	2	155	DONE	20200924T002858.735127	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	772312911	Dict(image:Box(7, 7, 3))	15
1	2	156	DONE	20200924T002858.951126	3	[7 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0.7357142857142858	2490261713	Dict(image:Box(7, 7, 3))	74
1	2	157	DONE	20200924T002859.047155	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1179419472	Dict(image:Box(7, 7, 3))	23
1	2	158	DONE	20200924T002859.417192	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2228455794	Dict(image:Box(7, 7, 3))	94
1	2	159	DONE	20200924T002859.633192	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	12407265	Dict(image:Box(7, 7, 3))	74
1	2	160	DONE	20200924T002859.673194	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1667236231	Dict(image:Box(7, 7, 3))	7
1	2	161	DONE	20200924T002859.916192	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1678727286	Dict(image:Box(7, 7, 3))	87
1	2	162	DONE	20200924T002900.230193	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1837927034	Dict(image:Box(7, 7, 3))	65
1	2	163	DONE	20200924T002900.431264	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2490472176	Dict(image:Box(7, 7, 3))	70
1	2	164	DONE	20200924T002900.469264	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2510986223	Dict(image:Box(7, 7, 3))	6
1	2	165	DONE	20200924T002900.499264	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2889355216	Dict(image:Box(7, 7, 3))	2
1	2	166	DONE	20200924T002900.686266	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2755779200	Dict(image:Box(7, 7, 3))	60
1	2	167	DONE	20200924T002901.547287	3	[5 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3092871391	Dict(image:Box(7, 7, 3))	240
1	2	168	DONE	20200924T002901.789893	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4267644574	Dict(image:Box(7, 7, 3))	83
1	2	169	DONE	20200924T002901.988894	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3977550289	Dict(image:Box(7, 7, 3))	60
1	2	170	DONE	20200924T002902.854410	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4030529053	Dict(image:Box(7, 7, 3))	223
1	2	171	DONE	20200924T002903.203442	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2854362185	Dict(image:Box(7, 7, 3))	82
1	2	172	DONE	20200924T002903.758485	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4043271487	Dict(image:Box(7, 7, 3))	158
1	2	173	DONE	20200924T002903.915485	1	[5 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4078574857	Dict(image:Box(7, 7, 3))	43
1	2	174	DONE	20200924T002903.960485	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2579533501	Dict(image:Box(7, 7, 3))	8
1	2	175	DONE	20200924T002904.269484	2	[5 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3286847704	Dict(image:Box(7, 7, 3))	99
1	2	176	DONE	20200924T002904.590530	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3055478861	Dict(image:Box(7, 7, 3))	81
1	2	177	DONE	20200924T002904.912160	3	[4 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	371525221	Dict(image:Box(7, 7, 3))	111
1	2	178	DONE	20200924T002905.110163	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3820571847	Dict(image:Box(7, 7, 3))	30
1	2	179	DONE	20200924T002905.327163	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1584178189	Dict(image:Box(7, 7, 3))	69
1	2	180	DONE	20200924T002905.929705	3	[5 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1948254709	Dict(image:Box(7, 7, 3))	176
1	2	181	DONE	20200924T002906.523256	3	[5 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1954724695	Dict(image:Box(7, 7, 3))	177
1	2	182	DONE	20200924T002906.800259	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3967042993	Dict(image:Box(7, 7, 3))	95
1	2	183	DONE	20200924T002907.209798	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3049746954	Dict(image:Box(7, 7, 3))	116
1	2	184	DONE	20200924T002907.300797	3	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	4277355903	Dict(image:Box(7, 7, 3))	23
1	2	185	DONE	20200924T002907.444797	1	[4 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1711761199	Dict(image:Box(7, 7, 3))	46
1	2	186	DONE	20200924T002907.475828	0	[3 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	1620710857	Dict(image:Box(7, 7, 3))	2
1	2	187	DONE	20200924T002907.947343	3	[5 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3144711800	Dict(image:Box(7, 7, 3))	137
1	2	188	DONE	20200924T002908.184381	1	[4 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2209570550	Dict(image:Box(7, 7, 3))	83
1	2	189	DONE	20200924T002908.732403	3	[4 1]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	3877534433	Dict(image:Box(7, 7, 3))	165
1	2	190	DONE	20200924T002909.006405	1	[5 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	958656844	Dict(image:Box(7, 7, 3))	89
1	2	191	DONE	20200924T002909.574405	0	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	2718047672	Dict(image:Box(7, 7, 3))	168
1	2	192	DONE	20200924T002909.882542	1	[3 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	487044671	Dict(image:Box(7, 7, 3))	69
1	2	193	DONE	20200924T002910.009543	2	[5 5]	minigridkit_minigridkit_minigridlava2	0	env-0	Discrete(7)	NEXT	0	768371642	Dict(image:Box(7, 7, 3))	41
