block_num	regime_num	exp_num	status	timestamp	sub_task	agent_pos	observation_space	steps	reward	seed	agent_dir	worker	source	action_space	task_name
4	8	2600	DONE	20200922T230254.888596	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	3887864676	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2601	DONE	20200922T230254.954594	0	[6 6]	Dict(image:Box(7, 7, 3))	13	0.954296875	182791527	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2602	DONE	20200922T230255.010595	0	[6 6]	Dict(image:Box(7, 7, 3))	12	0.9578125	4025486919	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2603	DONE	20200922T230255.065608	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	2463188947	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2604	DONE	20200922T230255.126677	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	3023041961	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2605	DONE	20200922T230255.182678	0	[6 6]	Dict(image:Box(7, 7, 3))	13	0.954296875	2543029314	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2606	DONE	20200922T230255.234678	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	2973715497	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2607	DONE	20200922T230255.290679	0	[6 6]	Dict(image:Box(7, 7, 3))	13	0.954296875	1078839161	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2608	DONE	20200922T230255.347678	0	[6 6]	Dict(image:Box(7, 7, 3))	14	0.95078125	1674170290	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2609	DONE	20200922T230255.397238	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	79535060	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2610	DONE	20200922T230255.451235	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	468732939	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2611	DONE	20200922T230255.518235	0	[6 6]	Dict(image:Box(7, 7, 3))	15	0.947265625	1118562399	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2612	DONE	20200922T230255.572236	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	3155802731	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2613	DONE	20200922T230255.629236	0	[6 6]	Dict(image:Box(7, 7, 3))	13	0.954296875	704413560	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2614	DONE	20200922T230255.678238	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	3628739033	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2615	DONE	20200922T230255.729235	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	401804821	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2616	DONE	20200922T230255.887236	0	[6 6]	Dict(image:Box(7, 7, 3))	15	0.947265625	2435389016	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2617	DONE	20200922T230255.939236	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	1455479830	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
4	8	2618	DONE	20200922T230255.990234	0	[6 6]	Dict(image:Box(7, 7, 3))	11	0.961328125	2288299933	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid8x8
