timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T181612.313119	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2568284637	3169	0	100	DONE	NEXT	3	[7 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181612.777854	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2915456897	3171	0	100	DONE	NEXT	0	[2 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181614.394252	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3782506053	3173	0	100	DONE	NEXT	3	[4 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181615.040681	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	750455704	3175	0	100	DONE	NEXT	2	[5 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181617.233846	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	722895913	3178	0	95	DONE	NEXT	0	[5 1]	0.14500000000000002	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181617.893574	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3955139264	3181	0	100	DONE	NEXT	1	[6 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181619.806765	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2669434236	3183	0	100	DONE	NEXT	0	[7 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181620.339389	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	1792018600	3185	0	100	DONE	NEXT	0	[8 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181621.934488	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	736429267	3187	0	100	DONE	NEXT	0	[2 8]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181622.414727	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2262101012	3189	0	100	DONE	NEXT	3	[3 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
