timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T180100.694999	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	125686510	1301	0	27	DONE	NEXT	1	[7 7]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180105.393619	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	3132070199	1302	0	324	DONE	NEXT	1	[7 5]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180108.234712	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	230111167	1304	0	324	DONE	NEXT	2	[2 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180112.834488	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	2110434365	1306	0	324	DONE	NEXT	0	[2 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180116.647261	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	4003256549	1309	0	324	DONE	NEXT	0	[1 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180118.846730	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	325488102	1311	0	271	DONE	NEXT	1	[7 7]	0.24722222222222212	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180124.047413	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	3976463826	1313	0	324	DONE	NEXT	3	[2 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180127.054292	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	2227967561	1315	0	324	DONE	NEXT	0	[5 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180130.981897	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	145116353	1317	0	324	DONE	NEXT	3	[2 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180134.020716	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	2647942017	1319	0	200	DONE	NEXT	0	[7 7]	0.4444444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180138.802188	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	1457114328	1321	0	312	DONE	NEXT	1	[7 7]	0.13333333333333341	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180145.026176	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	353954870	1323	0	324	DONE	NEXT	1	[5 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180149.538292	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	3068168758	1325	0	107	DONE	NEXT	1	[7 7]	0.7027777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180155.618160	2.train	env-1	minigridkit_minigridkit_minigridsimplecrossing	4	2288228262	1326	0	324	DONE	NEXT	1	[3 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
