block_num	regime_num	exp_num	status	timestamp	seed	sub_task	worker	action_space	steps	agent_dir	observation_space	task_name	source	agent_pos	reward
0	0	56	DONE	20200922T225913.765175	2020746309	0	env-0	Discrete(7)	39	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.649
0	0	57	DONE	20200922T225913.806177	1463352319	0	env-0	Discrete(7)	8	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9279999999999999
0	0	58	DONE	20200922T225913.909174	2164328810	0	env-0	Discrete(7)	35	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.685
0	0	59	DONE	20200922T225913.973176	3955072858	0	env-0	Discrete(7)	21	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.8109999999999999
0	0	60	DONE	20200922T225914.064176	1972239846	0	env-0	Discrete(7)	28	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.748
0	0	61	DONE	20200922T225914.114175	866206224	0	env-0	Discrete(7)	12	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.892
0	0	62	DONE	20200922T225914.326176	894554297	0	env-0	Discrete(7)	45	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.595
0	0	63	DONE	20200922T225914.378176	114785963	0	env-0	Discrete(7)	11	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	64	DONE	20200922T225914.440175	2989100655	0	env-0	Discrete(7)	18	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.838
0	0	65	DONE	20200922T225914.477174	1341792518	0	env-0	Discrete(7)	6	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.946
0	0	66	DONE	20200922T225914.512175	2355263080	0	env-0	Discrete(7)	6	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.946
0	0	67	DONE	20200922T225914.570205	3795565538	0	env-0	Discrete(7)	16	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.856
0	0	68	DONE	20200922T225914.687203	1020983058	0	env-0	Discrete(7)	40	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6399999999999999
0	0	69	DONE	20200922T225914.731205	101055346	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	70	DONE	20200922T225914.828730	4153407196	0	env-0	Discrete(7)	26	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.766
0	0	71	DONE	20200922T225914.878300	2804135804	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	72	DONE	20200922T225915.112301	2961209438	0	env-0	Discrete(7)	37	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.667
0	0	73	DONE	20200922T225915.220301	1134813179	0	env-0	Discrete(7)	37	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.667
0	0	74	DONE	20200922T225915.315299	3476760870	0	env-0	Discrete(7)	25	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.775
0	0	75	DONE	20200922T225915.483299	2598163811	0	env-0	Discrete(7)	56	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.4959999999999999
0	0	76	DONE	20200922T225915.572298	2593565788	0	env-0	Discrete(7)	26	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.766
0	0	77	DONE	20200922T225915.652299	3928188243	0	env-0	Discrete(7)	19	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.829
0	0	78	DONE	20200922T225915.775298	4256635965	0	env-0	Discrete(7)	36	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6759999999999999
0	0	79	DONE	20200922T225915.952299	35667465	0	env-0	Discrete(7)	21	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.8109999999999999
0	0	80	DONE	20200922T225915.997301	949842999	0	env-0	Discrete(7)	10	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.91
0	0	81	DONE	20200922T225916.033299	3734881878	0	env-0	Discrete(7)	6	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.946
0	0	82	DONE	20200922T225916.075299	3574431155	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	83	DONE	20200922T225916.110298	3363087584	0	env-0	Discrete(7)	7	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9369999999999999
0	0	84	DONE	20200922T225916.228298	1440714649	0	env-0	Discrete(7)	43	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.613
0	0	85	DONE	20200922T225916.379818	2886560620	0	env-0	Discrete(7)	45	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.595
0	0	86	DONE	20200922T225916.535818	4018104856	0	env-0	Discrete(7)	52	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.532
0	0	87	DONE	20200922T225916.571818	4228774239	0	env-0	Discrete(7)	7	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9369999999999999
0	0	88	DONE	20200922T225916.743374	988552733	0	env-0	Discrete(7)	16	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.856
0	0	89	DONE	20200922T225916.915374	3355775331	0	env-0	Discrete(7)	53	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.5229999999999999
0	0	90	DONE	20200922T225916.964374	3758501776	0	env-0	Discrete(7)	10	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.91
0	0	91	DONE	20200922T225917.104373	2738904364	0	env-0	Discrete(7)	44	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.604
0	0	92	DONE	20200922T225917.162897	2604364353	0	env-0	Discrete(7)	14	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	93	DONE	20200922T225917.213892	2840386442	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	94	DONE	20200922T225917.258890	804953401	0	env-0	Discrete(7)	8	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9279999999999999
0	0	95	DONE	20200922T225917.354891	537824897	0	env-0	Discrete(7)	30	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.73
0	0	96	DONE	20200922T225917.403892	3222741880	0	env-0	Discrete(7)	14	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	97	DONE	20200922T225917.543892	3408123851	0	env-0	Discrete(7)	5	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.955
0	0	98	DONE	20200922T225917.596892	3742725540	0	env-0	Discrete(7)	6	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.946
0	0	99	DONE	20200922T225917.651890	1701555594	0	env-0	Discrete(7)	12	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.892
0	0	100	DONE	20200922T225917.754892	3914427890	0	env-0	Discrete(7)	26	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.766
0	0	101	DONE	20200922T225917.871893	212921840	0	env-0	Discrete(7)	32	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.712
0	0	102	DONE	20200922T225917.938893	1907997014	0	env-0	Discrete(7)	13	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.883
0	0	103	DONE	20200922T225918.034890	1374084310	0	env-0	Discrete(7)	24	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.784
0	0	104	DONE	20200922T225918.409434	1276183134	0	env-0	Discrete(7)	100	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 2]	0
0	0	105	DONE	20200922T225918.535428	1902787002	0	env-0	Discrete(7)	43	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.613
0	0	106	DONE	20200922T225918.639947	521624347	0	env-0	Discrete(7)	31	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.721
0	0	107	DONE	20200922T225918.713948	1080859326	0	env-0	Discrete(7)	22	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.802
0	0	108	DONE	20200922T225918.870946	778375193	0	env-0	Discrete(7)	59	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.469
0	0	109	DONE	20200922T225918.925947	287366223	0	env-0	Discrete(7)	17	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.847
0	0	110	DONE	20200922T225919.283948	2815709897	0	env-0	Discrete(7)	94	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.15400000000000003
0	0	111	DONE	20200922T225919.391947	1150065735	0	env-0	Discrete(7)	40	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6399999999999999
0	0	112	DONE	20200922T225919.425949	886797187	0	env-0	Discrete(7)	6	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.946
0	0	113	DONE	20200922T225919.725475	1345345766	0	env-0	Discrete(7)	81	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.2709999999999999
0	0	114	DONE	20200922T225919.892501	3379829850	0	env-0	Discrete(7)	61	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.45099999999999996
0	0	115	DONE	20200922T225920.070500	2324825448	0	env-0	Discrete(7)	68	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.3879999999999999
0	0	116	DONE	20200922T225920.161500	1346968209	0	env-0	Discrete(7)	31	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.721
0	0	117	DONE	20200922T225920.471020	2742279662	0	env-0	Discrete(7)	78	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.29799999999999993
0	0	118	DONE	20200922T225920.603536	2292304171	0	env-0	Discrete(7)	44	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.604
0	0	119	DONE	20200922T225920.646537	2293177398	0	env-0	Discrete(7)	10	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.91
0	0	120	DONE	20200922T225920.698536	672390723	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	121	DONE	20200922T225920.751537	2160376226	0	env-0	Discrete(7)	13	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.883
0	0	122	DONE	20200922T225920.818535	1353134182	0	env-0	Discrete(7)	18	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.838
0	0	123	DONE	20200922T225920.884537	449210143	0	env-0	Discrete(7)	16	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.856
0	0	124	DONE	20200922T225920.943537	3480585605	0	env-0	Discrete(7)	15	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.865
0	0	125	DONE	20200922T225920.993535	1956956417	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	126	DONE	20200922T225921.276536	2881062774	0	env-0	Discrete(7)	59	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.469
0	0	127	DONE	20200922T225921.323537	999208978	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	128	DONE	20200922T225921.467577	41264358	0	env-0	Discrete(7)	46	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.586
0	0	129	DONE	20200922T225921.530573	474247442	0	env-0	Discrete(7)	13	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.883
