run_id	perf_recovery	perf_maintenance_mrlep	forward_transfer_ratio	backward_transfer_ratio	ste_rel_perf	sample_efficiency	complexity	difficulty	scenario_type	metrics_column	min	max	num_lx	num_ex	runtime
3-high_condensed-1625259873-5291016		1.1559975821174733	15.909296560383405	1.004136889238679	1.2213484830190606	1.1916482197460148	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.547533
3-high_condensed-1625259874-2302241		-1.2324394841002027	10.264894023082926	1.0052169392355477	1.213071524603222	1.1932960228502034	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.645269
3-high_condensed-1625259875-015123		-0.763539274720552	16.447601665573472	0.9860344327904064	1.2710463477480562	1.2054408097970672	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.693145
3-high_condensed-1625259875-8449013		-2.418193829613675	11.878252595624861	0.9631558011436223	1.265005941570496	1.2054407646361118	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.623331
3-high_condensed-1625259876-6198275		-0.3667139971332217	13.127319451353248	1.0050567177123269	1.0969373178470296	1.179887155375351	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.521604
3-high_condensed-1625259877-278065		0.8741653590795627	14.167152799628804	1.0028475935258434	1.2027647156227688	1.204227633553707	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.712093
3-high_condensed-1625259878-1357691		1.4821381616283218	23.471440845811674	1.0055570243618683	1.163255595514383	1.1820947641943038	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.651256
3-high_condensed-1625259878-950588		1.822764247875868	11.664662271058177	1.0056468916259176	1.2392464663334197	1.1922061918980027	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.612361
3-high_condensed-1625259879-712548		0.8403445778195391	17.169219804360818	1.0029778718520297	1.2379595110298929	1.2001438025481688	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.608371
3-high_condensed-1625259880-4585555		-1.0229452122599436	8.3428811822009	0.9723830864648311	1.1933613720696712	1.1920168916754859	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.533568
3-high_condensed-1625259881-1357381		1.228822245912611	12.238869311774552	1.0041331341104602	1.2281668142863909	1.1994024447955367	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.5605
3-high_condensed-1625259881-8219013		1.1580635435537467	10.658490159979868	1.0022188700954606	1.223529128062826	1.1993135019841308	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.527588
3-high_condensed-1625259882-4721608		0.9169375659553032	16.005008041559925	1.003140840097542	1.2445257023692269	1.2045734373965231	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.536561
3-high_condensed-1625259883-1264093		-3.309900716674842	15.117955568028998	0.948959420593271	1.2546400096211319	1.1979525885615518	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.55651
3-high_condensed-1625259883-7986093		-1.3180057648193035	8.925852562445398	0.9735046371828048	1.2583698202524751	1.1969168771289138	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.501657
3-high_condensed-1625259884-4149594		-0.7599701237860458	12.750866103356111	1.0019342970644562	1.2322845135163674	1.2079995514289639	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.519609
3-high_condensed-1625259885-0542479		1.174830084818402	14.056824340022628	1.0046250391044118	1.2085258325331583	1.1988155561476372	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.490686
3-high_condensed-1625259885-6745875		0.18970902138853116	21.717613381114518	0.9987856076896429	1.2092655379575266	1.2053283779930122	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.51163
3-high_condensed-1625259886-3208573		1.909818488029084	17.28880472397301	1.004374351523086	1.1525578411132782	1.184282376267508	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.522601
3-high_condensed-1625259886-9611433		-0.613706282957508	15.71306494612728	0.9822957224730512	1.1759520503840981	1.192450665202124	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.565486
3-high_condensed-1625259887-647307		1.28428590446379	17.870782873561875	1.0044412440138428	1.2483569240606112	1.2039494223738159	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.510633
3-high_condensed-1625259888-29059		2.2948492778524026	18.41396994487602	1.0078015684934007	1.192527052529255	1.1911748647106577	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.519607
3-high_condensed-1625259888-9378517		0.9357404043606747	11.636309174464044	1.001783926358272	1.1576578802543065	1.1783760042363258	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.509635
3-high_condensed-1625259889-595093		0.8330192937506657	15.941412103715937	1.0030662757590674	1.2262556789236603	1.206103922319615	3-high	2-medium	condensed	performance	1.0	101.0	1800	840	0.629315
3-high_dispersed-1625261396-9664958	-33.666666666666664	2.72447505150161	5.8712560826295395	1.0432621498654362	1.158457323161138	1.471887451363951	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.409546
3-high_dispersed-1625261399-5775023	-11.833333333333334	2.2311390608656585	7.59996359629612	0.9769364762179188	1.104030100133459	1.1590968247845952	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.836403
3-high_dispersed-1625261402-6572526	-2.5	1.4318010385695672	6.447179472543441	1.0157042944796397	1.1178441271292916	1.705531453189031	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.484346
3-high_dispersed-1625261405-326104	-6.0	4.372664137281382	6.061336088800405	1.0166321041607613	1.1695422245917022	1.19789595852561	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.97204
3-high_dispersed-1625261408-4986057	2.5	5.215517417330372	6.752336718472599	1.0330610436385548	1.1563618222607468	1.2122092026523483	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	3.102689
3-high_dispersed-1625261411-8177156	6.333333333333333	0.5521288581412499	9.849803545632662	1.0286780182764284	1.1358914806200124	1.1522125344993746	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.728691
3-high_dispersed-1625261414-7807798	7.333333333333333	4.957564697552926	8.758285541865	1.0475577281705013	1.1439703908390084	1.1902418894119509	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.542189
3-high_dispersed-1625261417-5084722	0.0	2.084871263004959	10.488919564666437	1.0196533816301487	1.1734650737299626	1.334289838721392	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.183151
3-high_dispersed-1625261419-8701468	-9.833333333333334	2.5184282105926727	8.530516498453128	1.0428302166955465	1.133472358558383	1.466588184163258	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.694782
3-high_dispersed-1625261422-8172524	3.0	2.7977087729335945	7.692929227381802	1.1060576075295614	1.1549074892920117	1.2143837910757176	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	3.051825
3-high_dispersed-1625261426-0745332	-2.8333333333333335	2.5766517174835317	5.632586352926864	1.033907194460472	1.1384462783600995	1.1929569393127488	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.383615
3-high_dispersed-1625261428-6336727	6.333333333333333	3.482553826456876	6.977733705453324	1.0611957753094783	1.0510199821836463	1.180342788168096	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.191131
3-high_dispersed-1625261430-9813836	-17.166666666666668	1.6135538432621797	11.109487178040352	0.9700289736685487	1.0784252381048234	1.2416804706534965	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.323775
3-high_dispersed-1625261433-4697187	-14.666666666666666	1.7656727996854416	8.389314761235356	1.0208522775237523	1.1785674217486934	1.183491355518407	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.221051
3-high_dispersed-1625261435-8672962	-0.5	5.9196149794878705	8.969233650151677	1.0488448244451563	1.171625947433122	1.197826888831867	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.288876
3-high_dispersed-1625261438-312746	-6.333333333333333	5.507980156971958	9.1497288626196	1.0449113611983596	1.2086532560215102	1.2122808804159062	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.253963
3-high_dispersed-1625261440-7442334	-9.5	3.0315974632653213	8.515354286302747	1.0351930562447023	1.1610440031952673	1.3455513346855188	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.289862
3-high_dispersed-1625261443-2265837	-20.0	5.194297427514291	7.025986044215716	1.0549146647004382	1.1078713083736986	1.3222988514940777	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.246976
3-high_dispersed-1625261445-699974	-13.0	2.909066870605377	6.3964858031229515	1.0368309751558593	1.2084898577907017	1.2076695149006953	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.339733
3-high_dispersed-1625261448-225195	-1.6666666666666667	3.734822284554222	7.3956710927003275	1.0126642859695871	1.1332433168972476	1.1930438216399828	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.339733
3-high_dispersed-1625261450-7444468	22.5	1.4149808343174672	5.46264147483302	1.0247024210846	1.1093651002171019	1.203644733732513	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.330755
3-high_dispersed-1625261453-254723	-1.0	2.3531915139059585	6.522352631997563	1.0102245284826923	1.1336278783903735	1.1892635837825196	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	2.37464
3-high_dispersed-1625261455-7979105	16.333333333333332	5.878092275606062	8.369348931606156	1.0138460488212087	1.1152270672822715	1.2136614234386494	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	3.624294
3-high_dispersed-1625261459-667547	-0.6666666666666666	5.5412379566701615	9.459219732998438	1.0394598166288052	1.2053241941240698	1.2124443226212367	3-high	2-medium	dispersed	performance	1.0	101.0	1800	6840	3.120637
