sg_name	agent_config	run_id	perf_recovery	perf_maintenance_mrtlp	perf_maintenance_mrlep	forward_transfer_contrast	backward_transfer_contrast	forward_transfer_ratio	backward_transfer_ratio	ste_rel_perf	sample_efficiency	complexity	difficulty	metrics_column	min	max	num_lx	num_ex
eval	agent_config-0	1-low_1-easy_example-1607408864-4602273	7.0	-0.7160930538944932	-0.6858733034260815	1.0	-0.0071153511844297065		0.9904763275597842	1.2030456023454241	1.2236999600409133	1-low	1-easy	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_1-easy_example-1607409009-9853988	-6.5	-0.8327046946777479	-1.8597721293966387	1.0	-0.017894020287371415		0.9654542719276464	1.2633355931071562	1.2141764422597352	1-low	1-easy	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_1-easy_example-1607409045-5770655	4.5	1.598538745052526	-0.4348769314191152	1.0	-0.015122659258923147		0.9745046037976648	1.1716285743154184	1.2393969307680177	1-low	1-easy	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_1-easy_example-1607409050-4744477	-4.5	2.106756027640433	2.5232129840861646	1.0	0.03796718954070841		1.091953495058147	1.2430576422008026	1.2197755557708556	1-low	1-easy	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_1-easy_example-1607409055-1053588	-14.5	0.9091467699168128	0.3062904015529426	1.0	0.004049464513499341		1.008189355588824	1.3300694999607603	1.2183144954446496	1-low	1-easy	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_2-medium_example-1607409083-3293347	0.5	-1.1654088443568753	-3.630991206562843	1.0	-0.04985973344396154		0.9054704322340736	1.1164076094557545	1.2019271233667936	1-low	2-medium	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_2-medium_example-1607409104-654362	12.5	0.7755801861826495	-0.6971521826260787	1.0	-0.022869858887072003		0.9565464922758986	1.0892859505135626	1.2056084504807072	1-low	2-medium	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_2-medium_example-1607409109-391357	3.5	-1.243520660147773	-3.5509919042763016	1.0	-0.03402594093608595		0.934558177379855	1.0820590518000575	1.1865148294903691	1-low	2-medium	performance	0.0	99.59737371749148	600	240
eval	agent_config-0	1-low_2-medium_example-1607409113-9623523	-0.0	6.0878536534698	4.975773264550769	1.0	0.07551492613082177		1.163860691137259	1.027010126014846	1.1909398699436555	1-low	2-medium	performance	0.0	100.0	600	240
eval	agent_config-0	1-low_2-medium_example-1607409119-1563492	-0.0	5.406635596297448	3.396992368598344	0.7840652270117257	0.026974964921211785	8.26205618633088	1.0555550671281022	1.0962713679444223	1.201089369256215	1-low	2-medium	performance	0.0	100.0	600	240
