timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175813.608404	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	504456270	0	0	71	DONE	NEXT	1	[4 4]	0.5562499999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.190371	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	260754414	2	0	144	DONE	NEXT	2	[1 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.326112	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3279510106	4	0	68	DONE	NEXT	0	[4 4]	0.575	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.879609	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	2576349239	7	0	144	DONE	NEXT	3	[2 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.110251	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	448804388	11	0	134	DONE	NEXT	0	[4 4]	0.16249999999999998	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.418103	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	177135871	13	0	64	DONE	NEXT	0	[4 4]	0.6000000000000001	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.436730	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	628300025	15	0	9	DONE	NEXT	0	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.481281	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1487853347	16	0	27	DONE	NEXT	1	[4 4]	0.83125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.622642	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	4096440845	17	0	84	DONE	NEXT	1	[4 4]	0.475	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.667753	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1324198007	19	0	26	DONE	NEXT	1	[4 4]	0.8375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.961564	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	411995483	20	0	49	DONE	NEXT	0	[4 4]	0.69375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.983552	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1958717046	22	0	11	DONE	NEXT	0	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.058833	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	2601543021	23	0	44	DONE	NEXT	1	[4 4]	0.725	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.156700	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3535330943	24	0	48	DONE	NEXT	0	[4 4]	0.7	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.238674	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	306249764	27	0	43	DONE	NEXT	1	[4 4]	0.73125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.749632	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3127915007	28	0	77	DONE	NEXT	1	[4 4]	0.51875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.772142	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	2652306283	30	0	9	DONE	NEXT	1	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.051520	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1906760965	31	0	144	DONE	NEXT	0	[3 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.336383	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3385495386	33	0	34	DONE	NEXT	1	[4 4]	0.7875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.413112	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	142183880	35	0	50	DONE	NEXT	0	[4 4]	0.6875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.437337	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	297655229	36	0	13	DONE	NEXT	0	[4 4]	0.91875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.522239	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1182853134	37	0	44	DONE	NEXT	0	[4 4]	0.725	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.916354	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1122742286	39	0	98	DONE	NEXT	1	[4 4]	0.38749999999999996	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.948743	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	2646483689	43	0	14	DONE	NEXT	0	[4 4]	0.9125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175817.988167	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3651236912	45	0	19	DONE	NEXT	0	[4 4]	0.88125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175818.108689	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	2740767873	47	0	66	DONE	NEXT	0	[4 4]	0.5875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175818.220950	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1401746411	49	0	65	DONE	NEXT	0	[4 4]	0.59375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175818.604773	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	647611789	50	0	84	DONE	NEXT	0	[4 4]	0.475	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175818.764919	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3762137500	55	0	81	DONE	NEXT	0	[4 4]	0.49375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.060141	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1708328122	57	0	45	DONE	NEXT	0	[4 4]	0.71875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.084599	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	1721529566	59	0	9	DONE	NEXT	0	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.124541	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	118527804	61	0	19	DONE	NEXT	0	[4 4]	0.88125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175819.190819	1.train	env-0	minigridkit_minigridkit_minigrid6x6	0	3450801339	63	0	36	DONE	NEXT	0	[4 4]	0.775	Discrete(7)	Dict(image:Box(7, 7, 3))
