block_num	regime_num	exp_num	status	timestamp	worker	agent_dir	task_name	sub_task	source	steps	reward	seed	observation_space	action_space	agent_pos
0	0	623	DONE	20200924T002218.317087	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	153	0.4535714285714286	4252513620	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	624	DONE	20200924T002219.202125	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	1774625501	Dict(image:Box(7, 7, 3))	Discrete(7)	[1 5]
0	0	625	DONE	20200924T002219.632359	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	148	0.4714285714285714	2254198848	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	626	DONE	20200924T002220.516358	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	892812447	Dict(image:Box(7, 7, 3))	Discrete(7)	[4 3]
0	0	627	DONE	20200924T002220.798358	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	98	0.6499999999999999	2186520784	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	628	DONE	20200924T002220.895888	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	22	0	860380246	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	629	DONE	20200924T002221.491442	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	181	0.35357142857142854	3691876494	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	630	DONE	20200924T002221.726455	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	83	0	2179329489	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 5]
0	0	631	DONE	20200924T002221.941455	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	31	0	310544650	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 1]
0	0	632	DONE	20200924T002222.254455	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	108	0	68800063	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 1]
0	0	633	DONE	20200924T002222.338064	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	25	0.9107142857142857	845591035	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	634	DONE	20200924T002222.431062	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	26	0.9071428571428571	379105227	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	635	DONE	20200924T002222.751062	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	75	0.7321428571428572	2515693667	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	636	DONE	20200924T002222.874063	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	42	0.85	2052323637	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	637	DONE	20200924T002223.345663	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	134	0.5214285714285714	2222495205	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	638	DONE	20200924T002223.618664	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	94	0	315917136	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	639	DONE	20200924T002223.697742	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	18	0	1019137255	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	640	DONE	20200924T002224.085748	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	100	0.6428571428571428	3562443435	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	641	DONE	20200924T002224.139746	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	12	0	2911994175	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 1]
0	0	642	DONE	20200924T002224.928745	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	2539030870	Dict(image:Box(7, 7, 3))	Discrete(7)	[6 1]
0	0	643	DONE	20200924T002225.044336	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	34	0.8785714285714286	1324707378	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	644	DONE	20200924T002225.467336	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	117	0.5821428571428571	792959221	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	645	DONE	20200924T002225.647333	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	62	0	1927954144	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 1]
0	0	646	DONE	20200924T002225.821335	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	54	0	1514624433	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 1]
0	0	647	DONE	20200924T002226.382410	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	172	0.3857142857142857	1611870943	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	648	DONE	20200924T002226.898963	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	147	0	3794161468	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	649	DONE	20200924T002227.440962	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	156	0	2238454631	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 5]
0	0	650	DONE	20200924T002227.975147	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	159	0.43214285714285716	177170990	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	651	DONE	20200924T002228.785144	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	1926183727	Dict(image:Box(7, 7, 3))	Discrete(7)	[2 4]
0	0	652	DONE	20200924T002229.687379	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	3415801525	Dict(image:Box(7, 7, 3))	Discrete(7)	[2 1]
0	0	653	DONE	20200924T002230.319381	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	196	0	2796814513	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	654	DONE	20200924T002230.554472	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	80	0.7142857142857143	3875514708	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	655	DONE	20200924T002231.404518	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	233	0	2432424827	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 5]
0	0	656	DONE	20200924T002232.241131	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	228	0	1730756574	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	657	DONE	20200924T002232.773130	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	150	0	2964750223	Dict(image:Box(7, 7, 3))	Discrete(7)	[4 5]
0	0	658	DONE	20200924T002233.592071	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	2038916721	Dict(image:Box(7, 7, 3))	Discrete(7)	[1 5]
0	0	659	DONE	20200924T002234.388071	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	1597349536	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 5]
0	0	660	DONE	20200924T002235.006666	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	186	0	4188305305	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 5]
0	0	661	DONE	20200924T002235.259661	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	88	0	4226628130	Dict(image:Box(7, 7, 3))	Discrete(7)	[4 1]
0	0	662	DONE	20200924T002235.721661	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	126	0.55	3216577946	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	663	DONE	20200924T002235.819664	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	28	0.9	2804520931	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	664	DONE	20200924T002236.364738	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	166	0.40714285714285714	2683496287	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	665	DONE	20200924T002237.150285	env-0	2	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	3264519226	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 4]
0	0	666	DONE	20200924T002237.785838	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	196	0.29999999999999993	501973668	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	667	DONE	20200924T002238.237839	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	125	0.5535714285714286	2437194050	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	668	DONE	20200924T002238.812929	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	178	0	4052169423	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 1]
0	0	669	DONE	20200924T002239.106929	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	101	0.6392857142857142	3519252924	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	670	DONE	20200924T002239.424025	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	67	0.7607142857142857	3851393089	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	671	DONE	20200924T002240.172182	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	234	0.16428571428571426	661898389	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	672	DONE	20200924T002240.363183	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	65	0.7678571428571428	283316389	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	673	DONE	20200924T002240.702183	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	84	0.7	4047353777	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	674	DONE	20200924T002241.417469	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	222	0.20714285714285718	929639452	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	675	DONE	20200924T002241.595468	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	59	0.7892857142857143	4265331331	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	676	DONE	20200924T002242.104472	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	142	0	1072886884	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	677	DONE	20200924T002242.372470	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	97	0.6535714285714285	3607398376	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	678	DONE	20200924T002242.535471	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	49	0.825	2779145770	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	679	DONE	20200924T002242.871016	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	80	0	2620949232	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	680	DONE	20200924T002243.053016	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	63	0	3930193870	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	681	DONE	20200924T002243.632014	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	171	0.38928571428571423	3793830666	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	682	DONE	20200924T002243.888397	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	90	0.6785714285714286	569949951	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	683	DONE	20200924T002244.102919	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	35	0.875	2965718854	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	684	DONE	20200924T002244.423531	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	112	0.6000000000000001	3068787457	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	685	DONE	20200924T002244.605530	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	49	0.825	2408209915	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	686	DONE	20200924T002244.920428	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	52	0.8142857142857143	3899897736	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	687	DONE	20200924T002245.016428	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	25	0	648761899	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 1]
0	0	688	DONE	20200924T002245.154428	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	40	0.8571428571428572	4066996382	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	689	DONE	20200924T002245.229428	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	17	0.9392857142857143	3786853	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	690	DONE	20200924T002245.666971	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	102	0.6357142857142857	772488697	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	691	DONE	20200924T002245.800998	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	34	0.8785714285714286	1454497884	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	692	DONE	20200924T002245.894997	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	26	0.9071428571428571	2994920262	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	693	DONE	20200924T002246.696512	env-0	1	minigridkit_minigridkit_minigridlava2	0	NEXT	252	0	3841779706	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 3]
0	0	694	DONE	20200924T002246.873530	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	56	0.8	1648550245	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	695	DONE	20200924T002247.163566	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	65	0.7678571428571428	1474201347	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	696	DONE	20200924T002247.254565	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	27	0.9035714285714286	3560352200	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	697	DONE	20200924T002247.335078	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	23	0	1515879851	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 1]
0	0	698	DONE	20200924T002247.470080	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	33	0.8821428571428571	1942947828	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	699	DONE	20200924T002247.562077	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	21	0.925	1453032108	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	700	DONE	20200924T002247.708080	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	48	0.8285714285714285	3606619901	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	701	DONE	20200924T002248.009079	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	67	0.7607142857142857	571132960	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	702	DONE	20200924T002248.143080	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	45	0.8392857142857143	446844541	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	703	DONE	20200924T002248.234620	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	25	0.9107142857142857	2455161880	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	704	DONE	20200924T002248.368619	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	45	0.8392857142857143	2963581351	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	705	DONE	20200924T002248.627672	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	45	0.8392857142857143	1647179200	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	706	DONE	20200924T002248.785673	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	51	0.8178571428571428	3794193430	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
