timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T180953.953518	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3535127382	1958	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180955.346494	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2878041003	1960	0	37	DONE	NEXT	1	[7 7]	0.8972222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180955.488398	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3050795369	1962	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180955.567607	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2814313675	1963	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180955.753601	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2295653678	1964	0	43	DONE	NEXT	1	[7 7]	0.8805555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180957.500498	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4196949530	1967	0	106	DONE	NEXT	1	[7 7]	0.7055555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180958.009529	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1023334486	1970	0	55	DONE	NEXT	1	[7 7]	0.8472222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180958.152303	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2268458039	1972	0	19	DONE	NEXT	0	[7 7]	0.9472222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180958.314895	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	298023842	1973	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180958.510877	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2244286996	1975	0	23	DONE	NEXT	1	[7 7]	0.9361111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180958.717070	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2022920325	1977	0	23	DONE	NEXT	0	[7 7]	0.9361111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180958.973158	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3827739320	1978	0	32	DONE	NEXT	0	[7 7]	0.9111111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181000.554618	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3267698479	1979	0	39	DONE	NEXT	1	[7 7]	0.8916666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181000.920913	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	907944743	1981	0	57	DONE	NEXT	1	[7 7]	0.8416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181001.094701	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	982665461	1982	0	34	DONE	NEXT	1	[7 7]	0.9055555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181001.206023	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	400589744	1985	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181003.011088	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3168746628	1987	0	92	DONE	NEXT	0	[7 7]	0.7444444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181003.648888	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1241400961	1990	0	116	DONE	NEXT	1	[7 7]	0.6777777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181003.976919	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1868439718	1994	0	57	DONE	NEXT	1	[7 7]	0.8416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181005.480789	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	990834518	1996	0	45	DONE	NEXT	0	[7 7]	0.875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181005.966760	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	102816731	1999	0	65	DONE	NEXT	1	[7 7]	0.8194444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181006.260165	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3762150773	2000	0	53	DONE	NEXT	1	[7 7]	0.8527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181006.478367	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2280770829	2003	0	38	DONE	NEXT	0	[7 7]	0.8944444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181008.204430	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1752276714	2005	0	27	DONE	NEXT	1	[7 7]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181008.406645	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4031099999	2006	0	25	DONE	NEXT	1	[7 7]	0.9305555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181008.566533	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1725528189	2008	0	29	DONE	NEXT	1	[7 7]	0.9194444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181008.740063	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	609291820	2010	0	37	DONE	NEXT	1	[7 7]	0.8972222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181008.811002	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3741084383	2013	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181009.003546	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2869671238	2015	0	39	DONE	NEXT	1	[7 7]	0.8916666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181010.980808	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	787229461	2018	0	78	DONE	NEXT	1	[7 7]	0.7833333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181011.051449	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1930012804	2022	0	22	DONE	NEXT	1	[7 7]	0.9388888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181011.144563	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1652698933	2023	0	21	DONE	NEXT	1	[7 7]	0.9416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181011.237589	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	193122049	2025	0	28	DONE	NEXT	0	[7 7]	0.9222222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181011.289429	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	404533487	2026	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181011.395421	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1716722443	2027	0	33	DONE	NEXT	1	[7 7]	0.9083333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181011.450333	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1748627479	2028	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181012.359303	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3151456763	2030	0	46	DONE	NEXT	0	[7 7]	0.8722222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181012.684539	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1176117016	2033	0	104	DONE	NEXT	1	[7 7]	0.7111111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181015.514909	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2839681539	2038	0	308	DONE	NEXT	1	[7 7]	0.14444444444444438	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181015.600681	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	486176035	2047	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181015.775936	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3251200837	2049	0	49	DONE	NEXT	1	[7 7]	0.8638888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181015.850528	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1152382410	2050	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181015.952635	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1180132163	2052	0	21	DONE	NEXT	0	[7 7]	0.9416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181016.225880	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3479432445	2054	0	59	DONE	NEXT	0	[7 7]	0.8361111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181018.208115	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2015375824	2056	0	54	DONE	NEXT	0	[7 7]	0.85	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181018.581388	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3113196344	2058	0	68	DONE	NEXT	0	[7 7]	0.8111111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181018.704001	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3356508752	2062	0	23	DONE	NEXT	1	[7 7]	0.9361111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181018.844713	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4266888345	2063	0	27	DONE	NEXT	1	[7 7]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181019.008913	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3987678328	2065	0	24	DONE	NEXT	0	[7 7]	0.9333333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181020.738919	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3030535006	2067	0	53	DONE	NEXT	1	[7 7]	0.8527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181021.165519	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2054993859	2069	0	98	DONE	NEXT	1	[7 7]	0.7277777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181021.312460	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	374362771	2072	0	32	DONE	NEXT	0	[7 7]	0.9111111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181022.633547	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1004854703	2074	0	36	DONE	NEXT	1	[7 7]	0.9	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181022.785635	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2416522499	2076	0	27	DONE	NEXT	0	[7 7]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181022.953410	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1241094715	2079	0	37	DONE	NEXT	1	[7 7]	0.8972222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181023.168102	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3249669192	2081	0	38	DONE	NEXT	0	[7 7]	0.8944444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181023.288501	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4144624273	2083	0	27	DONE	NEXT	0	[7 7]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181023.368337	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4039206597	2085	0	22	DONE	NEXT	1	[7 7]	0.9388888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181023.495632	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3396941471	2086	0	39	DONE	NEXT	1	[7 7]	0.8916666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
