block_num	regime_num	exp_num	status	timestamp	sub_task	agent_pos	observation_space	steps	reward	seed	agent_dir	worker	source	action_space	task_name
2	4	1300	DONE	20200922T230145.307930	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	3574141154	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1301	DONE	20200922T230145.351929	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	3026130358	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1302	DONE	20200922T230145.393929	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	457392539	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1303	DONE	20200922T230145.456929	0	[4 4]	Dict(image:Box(7, 7, 3))	15	0.90625	2844586158	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1304	DONE	20200922T230145.510966	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	164923789	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1305	DONE	20200922T230145.567963	0	[4 4]	Dict(image:Box(7, 7, 3))	13	0.91875	2980040903	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1306	DONE	20200922T230145.614962	0	[4 4]	Dict(image:Box(7, 7, 3))	9	0.94375	1510883751	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1307	DONE	20200922T230145.657962	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	1895092444	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1308	DONE	20200922T230145.700963	0	[4 4]	Dict(image:Box(7, 7, 3))	8	0.95	4028578703	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1309	DONE	20200922T230145.746962	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	1765924251	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1310	DONE	20200922T230145.791963	0	[4 4]	Dict(image:Box(7, 7, 3))	8	0.95	2999561399	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1311	DONE	20200922T230145.832961	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	1125888222	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1312	DONE	20200922T230145.877480	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	278889798	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1313	DONE	20200922T230145.916480	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	1464009042	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1314	DONE	20200922T230145.958479	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	1743036616	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1315	DONE	20200922T230146.002480	0	[4 4]	Dict(image:Box(7, 7, 3))	7	0.95625	1847626593	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
2	4	1316	DONE	20200922T230146.047480	0	[4 4]	Dict(image:Box(7, 7, 3))	9	0.94375	2916410691	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid6x6
